,PanID,species,curve_cluster,Pannot
101,PTHR45699:SF3,['DC10' 'DC50' 'DC70'],3,60S ACIDIC RIBOSOMAL PROTEIN P0
102,PTHR45760:SF2,['DC10' 'DC50'],4,FI19922P1
103,PTHR45808,['DC10' 'DC60'],3,FAMILY NOT NAMED
104,PTHR45826:SF4,['DC10' 'DC30'],3,
105,PTHR45979,['DC10' 'DC50'],3,FAMILY NOT NAMED
106,PTHR46366:SF1,['DC10' 'DC30'],3,PRO-APOPTOTIC SERINE PROTEASE NMA111
107,PTHR46408,['DC10' 'DC70'],7,FAMILY NOT NAMED
108,PTHR46557,['DC10' 'DC50'],3,FAMILY NOT NAMED
109,PTHR46811:SF1,['DC10' 'DC30'],4,COILED-COIL-HELIX-COILED-COIL-HELIX DOMAIN-CONTAINING PROTEIN 7
110,PTHR46915,['DC10' 'DC50'],6,FAMILY NOT NAMED
111,PTHR47205,['DC10' 'DC70'],3,FAMILY NOT NAMED
112,PTHR47227:SF1,['DC10' 'DC60'],6,
113,PTHR47416,['DC10' 'DC70'],3,FAMILY NOT NAMED
114,PTHR47523,['DC10' 'DC50'],3,FAMILY NOT NAMED
115,PTHR47567,['DC10' 'DC50'],3,FAMILY NOT NAMED
116,PTHR47640:SF5,['DC10' 'DC60'],7,TIA-1/TIAL RNA BINDING PROTEIN HOMOLOG
117,PTHR47683,['DC10' 'DC30'],6,FAMILY NOT NAMED
118,PTHR10003:SF31,['DC30' 'DC70'],4,SUPEROXIDE DISMUTASE [CU-ZN] 3
119,PTHR10165:SF80,['DC30' 'DC70'],3,
120,PTHR10314:SF161,['DC30' 'DC70'],4,
121,PTHR10574,['DC30' 'DC40'],1,NETRIN/LAMININ-RELATED
122,PTHR10639,['DC30' 'DC70'],3,CLATHRIN LIGHT CHAIN
123,PTHR10663:SF108,['DC30' 'DC70'],3,BREFELDIN A-INHIBITED GUANINE NUCLEOTIDE-EXCHANGE PROTEIN 1
124,PTHR10709,['DC30' 'DC40'],1,ACTIN-RELATED PROTEIN 2/3 COMPLEX SUBUNIT 1
125,PTHR10738,['DC30' 'DC50'],1,PROTEIN ARGININE N-METHYLTRANSFERASE 5
126,PTHR10869:SF139,['DC30' 'DC70'],4,
127,PTHR10971:SF26,['DC30' 'DC50'],6,
128,PTHR11011:SF25,['DC30' 'DC70'],3,FATTY ACYL-COA REDUCTASE 3
129,PTHR11132:SF237,['DC30' 'DC50' 'DC70'],3,
130,PTHR11224:SF17,['DC30' 'DC60'],1,E3 UBIQUITIN-PROTEIN LIGASE MAKORIN-2-RELATED
131,PTHR11225,['DC30' 'DC40' 'DC50'],1,NUCLEAR PORE COMPLEX PROTEIN NUP93  NUCLEOPORIN NUP93   DEAD EYE PROTEIN
132,PTHR11439:SF181,['DC30' 'DC60'],1,
133,PTHR11467:SF96,['DC30' 'DC40' 'DC50'],2,
134,PTHR11592:SF51,['DC30' 'DC70'],4,"PHOSPHOLIPID HYDROPEROXIDE GLUTATHIONE PEROXIDASE 6, MITOCHONDRIAL-RELATED"
135,PTHR11614:SF20,['DC30' 'DC70'],3,ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN
136,PTHR11937:SF16,['DC30' 'DC60'],1,ACTIN-RELATED PROTEIN 5
137,PTHR11946:SF71,['DC30' 'DC60'],1,"VALINE--TRNA LIGASE, MITOCHONDRIAL"
138,PTHR12289:SF41,['DC30' 'DC60'],1,METAXIN-1 HOMOLOG
139,PTHR12296,['DC30' 'DC70'],4,C-MYC PROMOTER BINDING PROTEIN
140,PTHR12298,['DC30' 'DC70'],7,PCDC2  PROGRAMMED CELL DEATH PROTEIN 2 -RELATED
141,PTHR12305:SF57,['DC30' 'DC70'],3,
142,PTHR12560:SF38,['DC30' 'DC70'],3,
143,PTHR12603,['DC30' 'DC50'],7,CCR4-NOT TRANSCRIPTION COMPLEX RELATED
144,PTHR12735:SF39,['DC30' 'DC70'],4,
145,PTHR12773,['DC30' 'DC50' 'DC60'],1,UPF0315 PROTEIN-RELATED
146,PTHR13036,['DC30' 'DC60'],2,"BETA1,4 MANNOSYLTRANSFERASE"
147,PTHR13068:SF42,['DC30' 'DC50' 'DC70'],3,
148,PTHR13140:SF256,['DC30' 'DC70'],3,
149,PTHR13140:SF735,['DC30' 'DC70'],3,MYOSIN-5
150,PTHR13832:SF382,['DC30' 'DC70'],7,
151,PTHR14369:SF0,['DC30' 'DC50' 'DC60'],1,SURFEIT LOCUS PROTEIN 6
152,PTHR14379,['DC30' 'DC70'],4,LIMKAIN B  LKAP
153,PTHR15492:SF1,['DC30' 'DC50' 'DC60'],1,CYCLIN-D1-BINDING PROTEIN 1
154,PTHR16199,['DC30' 'DC70'],3,FAMILY NOT NAMED
155,PTHR19271,['DC30' 'DC50'],4,CYTOCHROME B
156,PTHR19957:SF144,['DC30' 'DC40' 'DC50' 'DC60'],1,
157,PTHR20883:SF32,['DC30' 'DC50'],2,
158,PTHR21531:SF0,['DC30' 'DC50'],1,PROTEIN LTV1 HOMOLOG
159,PTHR21649:SF4,['DC30' 'DC70'],4,"CHLOROPHYLL A-B BINDING PROTEIN 4, CHLOROPLASTIC"
160,PTHR22100:SF13,['DC30' 'DC50' 'DC60'],1,WINGS APART-LIKE PROTEIN HOMOLOG
161,PTHR22778:SF16,['DC30' 'DC60'],2,DIHYDROFOLATE REDUCTASE
162,PTHR22891:SF117,['DC30' 'DC70'],4,
163,PTHR23382:SF5,['DC30' 'DC70'],4,
164,PTHR24073:SF555,['DC30' 'DC50'],2,RAS-RELATED PROTEIN RAB-5B
165,PTHR24074:SF25,['DC30' 'DC70'],3,
166,PTHR24115:SF522,['DC30' 'DC70'],3,
167,PTHR24221:SF384,['DC30' 'DC70'],4,ABC TRANSPORTER B FAMILY MEMBER 19
168,PTHR24349:SF174,['DC30' 'DC70'],4,CALCIUM-DEPENDENT PROTEIN KINASE 21-RELATED
169,PTHR24423,['DC30' 'DC70'],4,TWO-COMPONENT SENSOR HISTIDINE KINASE
170,PTHR24960:SF66,['DC30' 'DC50'],4,
171,PTHR27000:SF455,['DC30' 'DC70'],3,
172,PTHR27003,['DC30' 'DC70'],3,FAMILY NOT NAMED
173,PTHR27004:SF96,['DC30' 'DC70'],4,
174,PTHR27006:SF127,['DC30' 'DC70'],3,CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 3
175,PTHR28062:SF1,['DC30' 'DC50' 'DC60'],1,K+-H+ EXCHANGE-LIKE PROTEIN
176,PTHR28630:SF11,['DC30' 'DC70'],4,"THIOREDOXIN-LIKE PROTEIN AAED1, CHLOROPLASTIC"
177,PTHR30265:SF4,['DC30' 'DC70'],7,
178,PTHR30603:SF14,['DC30' 'DC70'],4,RNA POLYMERASE SIGMA FACTOR SIGA
179,PTHR31306:SF4,['DC30' 'DC40'],1,"ALPHA-1,6-MANNOSYLTRANSFERASE MNN11-RELATED"
180,PTHR31356:SF8,['DC30' 'DC70'],4,L-ASCORBATE PEROXIDASE 6-RELATED
181,PTHR31412:SF11,['DC30' 'DC70'],4,
182,PTHR31580,['DC30' 'DC40'],1,FAMILY NOT NAMED
183,PTHR31826:SF0,['DC30' 'DC50'],1,NICALIN
184,PTHR31860:SF6,['DC30' 'DC70'],3,HEAT-INDUCIBLE TRANSCRIPTION REPRESSOR (DUF639)
185,PTHR31970,['DC30' 'DC70'],3,FAMILY NOT NAMED
186,PTHR32116,['DC30' 'DC70'],3,FAMILY NOT NAMED
187,PTHR32282:SF23,['DC30' 'DC70'],3,
188,PTHR32295,['DC30' 'DC50' 'DC70'],4,FAMILY NOT NAMED
189,PTHR33103:SF19,['DC30' 'DC70'],7,EMB|CAB69840.1
190,PTHR33178:SF3,['DC30' 'DC70'],4,STRESS-RESPONSE A/B BARREL DOMAIN-CONTAINING PROTEIN DABB1-RELATED
191,PTHR33305:SF1,['DC30' 'DC70'],4,
192,PTHR33639:SF2,['DC30' 'DC40'],4,
193,PTHR34369,['DC30' 'DC70'],4,FAMILY NOT NAMED
194,PTHR34375:SF2,['DC30' 'DC70'],3,GATA ZINC FINGER PROTEIN
195,PTHR34574,['DC30' 'DC70'],4,FAMILY NOT NAMED
196,PTHR36319,['DC30' 'DC70'],7,FAMILY NOT NAMED
197,PTHR36319:SF1,['DC30' 'DC70'],7,PROTEIN GIGANTEA
198,PTHR37181:SF1,['DC30' 'DC70'],7,F6A14.6 PROTEIN
199,PTHR37466:SF1,['DC30' 'DC40' 'DC60'],1,
200,PTHR37736,['DC30' 'DC50'],3,FAMILY NOT NAMED
201,PTHR42714:SF6,['DC30' 'DC60'],7,
202,PTHR43006:SF7,['DC30' 'DC70'],4,
203,PTHR43198:SF2,['DC30' 'DC60'],1,SI:CH1073-67J19.1-RELATED
204,PTHR43427:SF3,['DC30' 'DC70'],4,CHLORIDE CHANNEL PROTEIN CLC-F
205,PTHR43650:SF3,['DC30' 'DC70'],4,
206,PTHR44006:SF1,['DC30' 'DC50'],1,U5 SMALL NUCLEAR RIBONUCLEOPROTEIN 40 KDA PROTEIN
207,PTHR44156:SF3,['DC30' 'DC50'],2,SERINE-THREONINE KINASE RECEPTOR-ASSOCIATED PROTEIN
208,PTHR44191:SF1,['DC30' 'DC70'],7,
209,PTHR45086:SF1,['DC30' 'DC60'],1,WD REPEAT-CONTAINING PROTEIN PCN
210,PTHR45613:SF64,['DC30' 'DC60'],1,
211,PTHR45651,['DC30' 'DC70'],4,FAMILY NOT NAMED
212,PTHR45672,['DC30' 'DC70'],7,FAMILY NOT NAMED
213,PTHR45831,['DC30' 'DC60'],6,FAMILY NOT NAMED
214,PTHR46157,['DC30' 'DC70'],3,FAMILY NOT NAMED
215,PTHR46175:SF5,['DC30' 'DC70'],7,ADAGIO PROTEIN 1
216,PTHR46334:SF1,['DC30' 'DC70'],7,COSTARS FAMILY PROTEIN ABRACL
217,PTHR46402,['DC30' 'DC50'],3,FAMILY NOT NAMED
218,PTHR46471,['DC30' 'DC50'],1,FAMILY NOT NAMED
219,PTHR47025:SF4,['DC30' 'DC70'],4,
220,PTHR47052,['DC30' 'DC70'],4,FAMILY NOT NAMED
221,PTHR47242:SF1,['DC30' 'DC70'],3,TRAF-LIKE FAMILY PROTEIN
222,PTHR47347,['DC30' 'DC70'],3,FAMILY NOT NAMED
223,PTHR47581:SF1,['DC30' 'DC70'],4,
224,PTHR47912,['DC30' 'DC60'],7,FAMILY NOT NAMED
225,PTHR10026:SF7,['DC40' 'DC50'],7,CYCLIN-C
226,PTHR10131:SF101,['DC40' 'DC50'],1,TNF RECEPTOR-ASSOCIATED FACTOR FAMILY PROTEIN DDB_G0268444-RELATED
227,PTHR10159:SF495,['DC40' 'DC60'],1,"PUCKERED, ISOFORM A"
228,PTHR10407,['DC40' 'DC50'],1,HUNTINGTIN INTERACTING PROTEIN 1
229,PTHR10410:SF2,['DC40' 'DC50'],1,BRCA1/BRCA2-CONTAINING COMPLEX SUBUNIT 3
230,PTHR10606,['DC40' 'DC60'],1,"6-PHOSPHOFRUCTO-2-KINASE/FRUCTOSE-2,6-BISPHOSPHATASE"
231,PTHR10676:SF343,['DC40' 'DC60'],1,"DYNEIN HEAVY CHAIN AT 89D, ISOFORM B"
232,PTHR10751:SF89,['DC40' 'DC70'],0,
233,PTHR10783:SF46,['DC40' 'DC50'],1,PROTEIN ERD1
234,PTHR10885,['DC40' 'DC50' 'DC60'],1,ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE
235,PTHR11106:SF58,['DC40' 'DC70'],5,
236,PTHR11132:SF161,['DC40' 'DC50'],1,
237,PTHR11200:SF185,['DC40' 'DC50' 'DC60'],1,EG:86E4.5 PROTEIN
238,PTHR11410:SF0,['DC40' 'DC60'],1,ATP SYNTHASE SUBUNIT A
239,PTHR11475,['DC40' 'DC50'],1,OXIDASE/PEROXIDASE
240,PTHR11673:SF6,['DC40' 'DC60'],1,EUKARYOTIC TRANSLATION INITIATION FACTOR 5A
241,PTHR11689:SF92,['DC40' 'DC50'],1,H(+)/CL(-) EXCHANGE TRANSPORTER 7
242,PTHR11835:SF42,['DC40' 'DC50' 'DC60'],1,"ISOCITRATE DEHYDROGENASE [NAD] SUBUNIT BETA, MITOCHONDRIAL"
243,PTHR12137:SF54,['DC40' 'DC50'],1,CARBOHYDRATE SULFOTRANSFERASE
244,PTHR12281:SF14,['DC40' 'DC50' 'DC60'],1,
245,PTHR12387,['DC40' 'DC50'],1,26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 8
246,PTHR12651:SF1,['DC40' 'DC50' 'DC60'],1,26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 9
247,PTHR12968:SF1,['DC40' 'DC50'],1,B9 DOMAIN-CONTAINING PROTEIN 1
248,PTHR13026,['DC40' 'DC70'],7,NNP-1 PROTEIN  NOVEL NUCLEAR PROTEIN 1   NOP52
249,PTHR13061:SF20,['DC40' 'DC50'],1,
250,PTHR13082:SF0,['DC40' 'DC50'],1,HISTONE DEACETYLASE COMPLEX SUBUNIT SAP18
251,PTHR13183,['DC40' 'DC50'],1,AXONEMAL INNER ARM DYNEIN LIGHT CHAIN 28
252,PTHR13186,['DC40' 'DC50' 'DC60'],1,MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT  SOH1
253,PTHR13369:SF1,['DC40' 'DC50' 'DC60'],1,
254,PTHR13376,['DC40' 'DC50'],1,UNCHARACTERIZED
255,PTHR13381,['DC40' 'DC50' 'DC60'],1,RNA POLYMERASE II HOLOENZYME COMPONENT SRB7
256,PTHR14068,['DC40' 'DC70'],5,EUKARYOTIC TRANSLATION INITIATION FACTOR 3  EIF3 -RELATED
257,PTHR14781,['DC40' 'DC50'],1,UNCHARACTERIZED
258,PTHR15276:SF0,['DC40' 'DC60'],7,COILED-COIL DOMAIN-CONTAINING PROTEIN 6
259,PTHR15572:SF0,['DC40' 'DC50'],1,GLUTAMINE-RICH PROTEIN-RELATED
260,PTHR16557:SF4,['DC40' 'DC70'],5,2-OXOGLUTARATE-DEPENDENT DIOXYGENASE FAMILY PROTEIN
261,PTHR19288:SF44,['DC40' 'DC50'],2,PHOSPHOLYSINE PHOSPHOHISTIDINE INORGANIC PYROPHOSPHATE PHOSPHATASE
262,PTHR19375:SF255,['DC40' 'DC50'],2,
263,PTHR19868:SF0,['DC40' 'DC50'],2,RECEPTOR OF ACTIVATED PROTEIN C KINASE 1
264,PTHR20383:SF9,['DC40' 'DC70'],4,RNA POLYMERASE II SUBUNIT A C-TERMINAL DOMAIN PHOSPHATASE SSU72
265,PTHR20875:SF0,['DC40' 'DC50'],1,GH12158P
266,PTHR20902,['DC40' 'DC60'],1,41-2 PROTEIN ANTIGEN-RELATED
267,PTHR21389,['DC40' 'DC60'],1,P53 INDUCED PROTEIN
268,PTHR21454:SF12,['DC40' 'DC50'],1,DPH4 HOMOLOG
269,PTHR21493:SF9,['DC40' 'DC50' 'DC60'],1,GOLGI TRANSPORT PROTEIN 1-RELATED
270,PTHR21502:SF3,['DC40' 'DC50'],1,
271,PTHR21540:SF0,['DC40' 'DC50'],1,E3 UBIQUITIN-PROTEIN LIGASE ZSWIM2
272,PTHR21569:SF13,['DC40' 'DC60'],1,
273,PTHR21580:SF21,['DC40' 'DC50'],1,O(6)-METHYLGUANINE-INDUCED APOPTOSIS 2
274,PTHR21660,['DC40' 'DC50' 'DC60'],1,THIOESTERASE SUPERFAMILY MEMBER-RELATED
275,PTHR22118:SF14,['DC40' 'DC50'],1,"DYNEIN ASSEMBLY FACTOR 3, AXONEMAL"
276,PTHR22897:SF8,['DC40' 'DC50'],1,SULFHYDRYL OXIDASE
277,PTHR22967,['DC40' 'DC50' 'DC60'],1,SERINE/THREONINE PROTEIN KINASE
278,PTHR22990,['DC40' 'DC50'],1,F-BOX ONLY PROTEIN
279,PTHR23167,['DC40' 'DC50'],7,FAMILY NOT NAMED
280,PTHR23423:SF17,['DC40' 'DC60'],1,IP17403P
281,PTHR24073:SF528,['DC40' 'DC50'],1,INTRAFLAGELLAR TRANSPORT PROTEIN 22 HOMOLOG
282,PTHR24073:SF579,['DC40' 'DC60'],7,
283,PTHR24178:SF9,['DC40' 'DC50'],1,ANKYRIN REPEAT AND SOCS BOX PROTEIN 3
284,PTHR24269:SF16,['DC40' 'DC60'],1,
285,PTHR24322:SF736,['DC40' 'DC50' 'DC60'],1,PKSB
286,PTHR24356:SF155,['DC40' 'DC60'],7,
287,PTHR24401:SF29,['DC40' 'DC50'],1,SI:CH211-243P7.3-RELATED
288,PTHR24559:SF263,['DC40' 'DC50'],1,
289,PTHR28055,['DC40' 'DC50'],1,FAMILY NOT NAMED
290,PTHR28617,['DC40' 'DC50'],1,FAMILY NOT NAMED
291,PTHR31849,['DC40' 'DC70'],7,FAMILY NOT NAMED
292,PTHR31906:SF20,['DC40' 'DC60'],1,
293,PTHR31970:SF0,['DC40' 'DC50'],1,MOLYBDATE TRANSPORTER 1
294,PTHR32093:SF104,['DC40' 'DC60'],1,
295,PTHR32387:SF0,['DC40' 'DC50' 'DC60'],1,WU:FJ29H11
296,PTHR33303,['DC40' 'DC50'],4,FAMILY NOT NAMED
297,PTHR33391:SF1,['DC40' 'DC50'],4,
298,PTHR33391:SF3,['DC40' 'DC50'],4,CYTOCHROME B559 SUBUNIT BETA
299,PTHR33675:SF1,['DC40' 'DC60'],1,NUCLEAR RECEPTOR FAMILY 2 GROUP C PROTEIN
300,PTHR33958:SF1,['DC40' 'DC50'],1,PROTEIN C8ORF37
301,PTHR34031,['DC40' 'DC60'],2,FAMILY NOT NAMED
302,PTHR34365:SF2,['DC40' 'DC50'],1,GLYCINE-RICH DOMAIN-CONTAINING PROTEIN 1
303,PTHR34560,['DC40' 'DC60'],7,FAMILY NOT NAMED
304,PTHR34675,['DC40' 'DC60'],1,FAMILY NOT NAMED
305,PTHR36080,['DC40' 'DC50' 'DC60'],1,FAMILY NOT NAMED
306,PTHR40422:SF1,['DC40' 'DC60'],1,TRANSLATION MACHINERY-ASSOCIATED PROTEIN 17
307,PTHR40624:SF1,['DC40' 'DC50'],1,
308,PTHR42909:SF1,['DC40' 'DC50' 'DC60'],1,ZGC:136858
309,PTHR43070:SF3,['DC40' 'DC50' 'DC60'],1,HOMOSERINE DEHYDROGENASE
310,PTHR43206:SF2,['DC40' 'DC50' 'DC60'],1,4-AMINOBUTYRATE AMINOTRANSFERASE GABT
311,PTHR43256:SF4,['DC40' 'DC50'],1,
312,PTHR43272:SF9,['DC40' 'DC70'],0,
313,PTHR43493:SF5,['DC40' 'DC50'],1,DNA GYRASE SUBUNIT A
314,PTHR43592:SF3,['DC40' 'DC50' 'DC60'],1,
315,PTHR44156:SF1,['DC40' 'DC50'],4,DYNEIN ASSEMBLY FACTOR WITH WDR REPEAT DOMAINS 1
316,PTHR45282:SF1,['DC40' 'DC50' 'DC60'],1,
317,PTHR45614:SF29,['DC40' 'DC60'],1,
318,PTHR45738:SF5,['DC40' 'DC60'],1,POLYPHOSPHOINOSITIDE PHOSPHATASE
319,PTHR45898:SF2,['DC40' 'DC60'],7,TARGET OF MYB PROTEIN 1
320,PTHR45926:SF5,['DC40' 'DC50'],1,TRANSCRIPTION FACTOR GTE4
321,PTHR45957:SF1,['DC40' 'DC60'],2,ANAPHASE-PROMOTING COMPLEX SUBUNIT 2
